암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQyIyQ1IyQwMCQzNjE4MzIjODEjJDEjJDIjJDgz,스마튼병원,21,병원,310000,경기,310300,부천시,,14534,"경기도 부천시 신흥로 240 (중동, 스마튼병원)",,2013-12-30,7,0,0,0,7,0,0,0,0,0,0,0,0,126.7760996,37.5049959
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,슬기로운병원,21,병원,240000,광주,240003,광주서구,,62052,광주광역시 서구 송풍로 11 2~3층 (풍암동),,2020-09-28,1,0,0,0,0,0,0,0,0,1,0,0,0,126.8662436,35.1183771
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5OSQzNjE4MzIjNTEjJDEjJDYjJDgz,슬기로운재활의학과병원,21,병원,240000,광주,240004,광주광산구,,62421,광주광역시 광산구 상무대로 271 슬기로운재활의학과병원 (소촌동),,2022-01-21,2,0,0,0,1,0,0,0,0,1,0,0,0,126.7954923,35.1429397
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQxMyQzNjE4MzIjODEjJDEjJDYjJDgz,시엘병원,21,병원,240000,광주,240003,광주서구,,61917,광주광역시 서구 무진대로 957 (광천동),http://www.clhospital.com,2000-08-29,7,0,0,0,7,0,0,0,0,0,0,0,0,126.885313,35.161507
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,시영의료재단 영동병원,21,병원,380000,경남,380017,함안군,,52017,경상남도 함안군 칠원읍 용산2길 45-13 (),,2012-10-22,4,0,0,0,4,0,0,0,0,0,0,0,0,128.5156027,35.3089491
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,시온여성병원,21,병원,310000,경기,310604,수원영통구,,16705,경기도 수원시 영통구 반달로 107 (영통동),,2002-09-12,23,0,0,0,23,0,0,0,0,0,0,0,0,127.0766569,37.2527041
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5OSQzNjEyMjIjNjEjJDEjJDQjJDgz,시원병원,21,병원,240000,광주,240003,광주서구,,61949,"광주광역시 서구 상무중앙로 64 지상 6,7,8층 (치평동)",,2016-03-17,7,0,0,0,7,0,0,0,0,0,0,0,0,126.8489119,35.1526608
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEyMjIjNjEjJDEjJDQjJDgz,시원항병원,21,병원,210000,부산,210005,부산북구,,46544,부산광역시 북구 금곡대로 27 더청명빌딩 5-10층 (덕천동),,2018-07-05,6,0,0,0,6,0,0,0,0,0,0,0,0,129.0041452,35.2123249
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjEwMDIjNTEjJDEjJDYjJDgz,시지열린아동병원,21,병원,230000,대구,230005,대구수성구,,42274,"대구광역시 수성구 달구벌대로 3188 4,5층 (신매동, 아레나스포츠센터)",,2011-11-11,5,0,0,0,5,0,0,0,0,0,0,0,0,128.7052207,35.8403253
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQxMyQyNjEyMjIjNjEjJDEjJDAjJDgz,시흥솔병원,21,병원,310000,경기,311700,시흥시,대야동,14912,"경기도 시흥시 비둘기공원로 10 301,501,601,701.801호 (대야동)",,2012-11-07,2,0,0,0,2,0,0,0,0,0,0,0,0,126.790765,37.4439703
